ID,y,x,이디야 매장수,스타벅스 매장수,커피빈 매장수,빽다방 매장수,커피지수
남해,22.0,6.0,1.0,0.0,0.0,0.0,0.0
창원 합포,19.0,8.0,7.0,3.0,1.0,1.0,0.5
창원 회원,21.0,7.0,5.0,4.0,0.0,0.0,0.8
밀양,17.0,8.0,5.0,3.0,0.0,0.0,0.6
사천,21.0,6.0,4.0,2.0,0.0,0.0,0.5
산청,19.0,5.0,1.0,1.0,0.0,0.0,1.0
창원 성산,20.0,7.0,12.0,7.0,4.0,1.0,0.8461538461538461
양산,19.0,7.0,15.0,6.0,0.0,1.0,0.375
의령,18.0,7.0,0.0,0.0,0.0,0.0,0.0
창원 의창,20.0,6.0,11.0,5.0,1.0,1.0,0.5
진주,18.0,6.0,20.0,7.0,1.0,4.0,0.3333333333333333
창원 진해,20.0,8.0,8.0,2.0,1.0,0.0,0.375
창녕,17.0,7.0,4.0,1.0,0.0,0.0,0.25
통영,21.0,8.0,1.0,2.0,1.0,3.0,0.75
하동,20.0,5.0,0.0,0.0,0.0,0.0,0.0
함안,19.0,6.0,1.0,0.0,2.0,0.0,2.0
함양,17.0,6.0,1.0,1.0,0.0,0.0,1.0
합천,16.0,7.0,1.0,0.0,0.0,0.0,0.0
경산,12.0,11.0,9.0,8.0,0.0,3.0,0.6666666666666666
경주,12.0,12.0,25.0,8.0,2.0,2.0,0.37037037037037035
고령,13.0,9.0,1.0,1.0,0.0,0.0,1.0
구미,10.0,10.0,14.0,10.0,1.0,6.0,0.55
군위,11.0,10.0,0.0,0.0,0.0,0.0,0.0
김천,11.0,9.0,3.0,2.0,0.0,0.0,0.6666666666666666
포항 남구,11.0,12.0,4.0,10.0,0.0,1.0,2.0
문경,8.0,10.0,5.0,1.0,0.0,0.0,0.2
봉화,8.0,11.0,1.0,0.0,0.0,0.0,0.0
포항 북구,10.0,12.0,10.0,6.0,1.0,2.0,0.5833333333333334
상주,11.0,8.0,2.0,0.0,1.0,0.0,0.5
성주,13.0,11.0,1.0,0.0,0.0,0.0,0.0
안동,9.0,10.0,8.0,5.0,0.0,2.0,0.5
영덕,7.0,11.0,2.0,1.0,0.0,0.0,0.5
영양,9.0,11.0,0.0,0.0,0.0,0.0,0.0
영주,10.0,9.0,4.0,0.0,0.0,1.0,0.0
영천,12.0,10.0,1.0,0.0,0.0,0.0,0.0
예천,10.0,8.0,0.0,0.0,0.0,0.0,0.0
울릉,8.0,13.0,0.0,0.0,0.0,0.0,0.0
울진,6.0,11.0,3.0,0.0,1.0,1.0,0.25
의성,11.0,11.0,0.0,0.0,0.0,0.0,0.0
청도,13.0,10.0,2.0,1.0,0.0,0.0,0.5
청송,10.0,11.0,2.0,0.0,0.0,0.0,0.0
칠곡,12.0,9.0,6.0,1.0,0.0,0.0,0.16666666666666666
광주 광산,21.0,2.0,17.0,16.0,0.0,2.0,0.8421052631578947
광주 남구,23.0,2.0,7.0,11.0,2.0,1.0,1.625
광주 동구,23.0,3.0,4.0,9.0,1.0,3.0,1.4285714285714286
광주 북구,22.0,3.0,10.0,14.0,0.0,2.0,1.1666666666666667
광주 서구,22.0,2.0,10.0,15.0,1.0,2.0,1.3333333333333333
대구 남구,15.0,9.0,6.0,4.0,0.0,0.0,0.6666666666666666
대구 달서,16.0,8.0,12.0,21.0,0.0,5.0,1.2352941176470589
대구 달성,16.0,9.0,9.0,3.0,0.0,3.0,0.25
대구 동구,15.0,10.0,8.0,8.0,1.0,2.0,0.9
대구 북구,14.0,8.0,11.0,6.0,0.0,2.0,0.46153846153846156
대구 서구,15.0,8.0,1.0,3.0,0.0,0.0,3.0
대구 수성,14.0,10.0,9.0,23.0,2.0,2.0,2.272727272727273
대구 중구,14.0,9.0,7.0,14.0,3.0,3.0,1.7
대전 대덕,13.0,5.0,2.0,6.0,0.0,2.0,1.5
대전 동구,14.0,5.0,2.0,6.0,2.0,4.0,1.3333333333333333
대전 서구,16.0,4.0,12.0,25.0,2.0,10.0,1.2272727272727273
대전 유성,15.0,4.0,12.0,11.0,1.0,6.0,0.6666666666666666
대전 중구,15.0,5.0,3.0,5.0,0.0,7.0,0.5
부산 강서,18.0,8.0,7.0,2.0,1.0,0.0,0.42857142857142855
부산 금정,16.0,10.0,10.0,6.0,0.0,3.0,0.46153846153846156
부산 기장,16.0,12.0,5.0,6.0,1.0,0.0,1.4
부산 남구,19.0,11.0,14.0,6.0,0.0,1.0,0.4
부산 동구,18.0,10.0,5.0,6.0,1.0,0.0,1.4
부산 동래,16.0,11.0,12.0,6.0,0.0,1.0,0.46153846153846156
부산 부산진,17.0,10.0,18.0,21.0,2.0,3.0,1.0952380952380953
부산 북구,17.0,9.0,12.0,2.0,0.0,3.0,0.13333333333333333
부산 사상,18.0,9.0,3.0,3.0,0.0,0.0,1.0
부산 사하,19.0,10.0,14.0,9.0,0.0,1.0,0.6
부산 서구,19.0,9.0,6.0,3.0,0.0,0.0,0.5
부산 수영,20.0,11.0,6.0,7.0,1.0,0.0,1.3333333333333333
부산 연제,17.0,11.0,8.0,6.0,0.0,0.0,0.75
부산 영도,20.0,10.0,3.0,0.0,0.0,0.0,0.0
부산 중구,18.0,11.0,10.0,9.0,2.0,3.0,0.8461538461538461
부산 해운대,17.0,12.0,11.0,29.0,5.0,2.0,2.6153846153846154
서울 강남,8.0,6.0,47.0,87.0,69.0,12.0,2.6440677966101696
서울 강동,5.0,8.0,15.0,14.0,9.0,6.0,1.0952380952380953
서울 강북,3.0,5.0,12.0,5.0,2.0,1.0,0.5384615384615384
서울 강서,6.0,4.0,47.0,19.0,6.0,8.0,0.45454545454545453
서울 관악,7.0,5.0,21.0,12.0,3.0,4.0,0.6
서울 광진,6.0,7.0,16.0,16.0,5.0,4.0,1.05
서울 구로,9.0,4.0,20.0,12.0,2.0,6.0,0.5384615384615384
서울 금천,8.0,5.0,11.0,13.0,2.0,1.0,1.25
서울 노원,2.0,6.0,24.0,10.0,3.0,5.0,0.4482758620689655
서울 도봉,2.0,5.0,8.0,2.0,0.0,0.0,0.25
서울 동대문,4.0,7.0,19.0,8.0,4.0,3.0,0.5454545454545454
서울 동작,6.0,5.0,10.0,11.0,1.0,4.0,0.8571428571428571
서울 마포,5.0,5.0,28.0,33.0,11.0,5.0,1.3333333333333333
서울 서대문,4.0,5.0,14.0,22.0,8.0,4.0,1.6666666666666667
서울 서초,7.0,6.0,21.0,49.0,31.0,7.0,2.857142857142857
서울 성동,5.0,7.0,16.0,9.0,2.0,2.0,0.6111111111111112
서울 성북,3.0,6.0,22.0,15.0,4.0,7.0,0.6551724137931034
서울 송파,6.0,8.0,28.0,34.0,13.0,10.0,1.236842105263158
서울 양천,7.0,4.0,14.0,12.0,4.0,0.0,1.1428571428571428
서울 영등포,8.0,4.0,27.0,30.0,13.0,5.0,1.34375
서울 용산,6.0,6.0,11.0,22.0,6.0,4.0,1.8666666666666667
서울 은평,5.0,4.0,17.0,11.0,2.0,6.0,0.5652173913043478
서울 종로,4.0,6.0,15.0,33.0,15.0,5.0,2.4
서울 중구,5.0,6.0,23.0,57.0,15.0,7.0,2.4
서울 중랑,4.0,8.0,12.0,7.0,2.0,2.0,0.6428571428571429
세종,13.0,4.0,18.0,9.0,1.0,2.0,0.5
울산 남구,15.0,12.0,30.0,19.0,2.0,5.0,0.6
울산 동구,14.0,12.0,8.0,2.0,0.0,1.0,0.2222222222222222
울산 북구,13.0,12.0,16.0,5.0,0.0,1.0,0.29411764705882354
울산 울주,14.0,11.0,12.0,1.0,0.0,1.0,0.07692307692307693
울산 중구,15.0,11.0,15.0,6.0,2.0,1.0,0.5
인천 강화,5.0,1.0,1.0,1.0,0.0,1.0,0.5
인천 계양,7.0,2.0,12.0,3.0,0.0,6.0,0.16666666666666666
인천 남동,10.0,2.0,35.0,13.0,1.0,13.0,0.2916666666666667
인천 동구,6.0,2.0,2.0,2.0,0.0,0.0,1.0
인천 미추홀,0.0,0.0,14.0,8.0,0.0,4.0,0.4444444444444444
인천 부평,8.0,2.0,26.0,11.0,2.0,2.0,0.4642857142857143
인천 서구,6.0,1.0,27.0,8.0,0.0,4.0,0.25806451612903225
인천 연수,10.0,1.0,14.0,14.0,7.0,7.0,1.0
인천 옹진,10.0,0.0,2.0,0.0,0.0,0.0,0.0
인천 중구,9.0,1.0,14.0,5.0,3.0,4.0,0.4444444444444444
강진,24.0,1.0,1.0,0.0,0.0,0.0,0.0
고흥,22.0,5.0,3.0,0.0,0.0,0.0,0.0
곡성,21.0,3.0,1.0,0.0,0.0,0.0,0.0
광양,21.0,5.0,9.0,2.0,0.0,1.0,0.2
구례,20.0,4.0,0.0,0.0,0.0,0.0,0.0
나주,22.0,1.0,5.0,1.0,0.0,0.0,0.2
담양,20.0,2.0,1.0,0.0,0.0,0.0,0.0
목포,22.0,0.0,10.0,5.0,0.0,5.0,0.3333333333333333
무안,21.0,1.0,3.0,0.0,0.0,1.0,0.0
보성,24.0,3.0,0.0,0.0,0.0,0.0,0.0
순천,22.0,4.0,17.0,5.0,0.0,1.0,0.2777777777777778
신안,21.0,0.0,0.0,0.0,0.0,0.0,0.0
여수,23.0,4.0,18.0,8.0,1.0,2.0,0.45
영광,19.0,1.0,3.0,0.0,0.0,0.0,0.0
영암,23.0,1.0,1.0,0.0,0.0,0.0,0.0
완도,25.0,2.0,1.0,0.0,0.0,0.0,0.0
장성,19.0,2.0,1.0,0.0,0.0,0.0,0.0
장흥,24.0,2.0,0.0,0.0,0.0,0.0,0.0
진도,24.0,0.0,2.0,0.0,0.0,0.0,0.0
함평,20.0,1.0,0.0,0.0,0.0,0.0,0.0
해남,23.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333
화순,21.0,4.0,0.0,0.0,0.0,0.0,0.0
고창,18.0,1.0,1.0,0.0,0.0,0.0,0.0
군산,16.0,2.0,10.0,3.0,1.0,0.0,0.4
김제,17.0,3.0,4.0,0.0,0.0,1.0,0.0
남원,18.0,5.0,1.0,0.0,0.0,0.0,0.0
전주 덕진,18.0,3.0,16.0,6.0,0.0,2.0,0.3333333333333333
무주,16.0,5.0,1.0,0.0,0.0,0.0,0.0
부안,17.0,2.0,5.0,1.0,0.0,0.0,0.2
순창,20.0,3.0,1.0,1.0,0.0,0.0,1.0
전주 완산,19.0,3.0,24.0,12.0,1.0,3.0,0.48148148148148145
완주,17.0,4.0,5.0,0.0,0.0,0.0,0.0
익산,16.0,3.0,8.0,4.0,0.0,1.0,0.4444444444444444
임실,19.0,4.0,1.0,1.0,0.0,0.0,1.0
장수,17.0,5.0,0.0,0.0,0.0,0.0,0.0
정읍,18.0,2.0,3.0,0.0,0.0,1.0,0.0
진안,18.0,4.0,0.0,0.0,0.0,0.0,0.0
서귀포,26.0,5.0,7.0,12.0,0.0,5.0,1.0
제주,25.0,5.0,6.0,13.0,0.0,4.0,1.3
계룡,14.0,4.0,1.0,1.0,0.0,0.0,1.0
공주,12.0,4.0,5.0,2.0,0.0,1.0,0.3333333333333333
금산,15.0,3.0,0.0,0.0,0.0,0.0,0.0
논산,14.0,3.0,2.0,1.0,0.0,0.0,0.5
당진,12.0,1.0,7.0,4.0,0.0,3.0,0.4
천안 동남,11.0,2.0,5.0,6.0,1.0,4.0,0.7777777777777778
보령,13.0,2.0,1.0,2.0,0.0,1.0,1.0
부여,14.0,2.0,2.0,0.0,0.0,0.0,0.0
천안 서북,11.0,3.0,14.0,12.0,0.0,6.0,0.6
서산,13.0,1.0,6.0,4.0,0.0,1.0,0.5714285714285714
서천,15.0,2.0,2.0,1.0,0.0,0.0,0.5
아산,11.0,1.0,8.0,9.0,0.0,4.0,0.75
예산,12.0,3.0,7.0,1.0,0.0,0.0,0.14285714285714285
청양,13.0,3.0,0.0,0.0,0.0,0.0,0.0
태안,11.0,0.0,2.0,0.0,0.0,0.0,0.0
홍성,12.0,2.0,4.0,0.0,0.0,2.0,0.0
괴산,12.0,8.0,2.0,0.0,0.0,0.0,0.0
단양,11.0,7.0,1.0,0.0,0.0,0.0,0.0
보은,13.0,8.0,2.0,1.0,0.0,0.0,0.5
청주 상당,14.0,6.0,9.0,5.0,1.0,2.0,0.5454545454545454
청주 서원,14.0,7.0,6.0,4.0,0.0,3.0,0.4444444444444444
영동,15.0,7.0,2.0,0.0,0.0,0.0,0.0
옥천,15.0,6.0,1.0,0.0,0.0,0.0,0.0
음성,11.0,5.0,3.0,2.0,1.0,0.0,1.0
제천,10.0,7.0,5.0,1.0,2.0,0.0,0.6
증평,13.0,6.0,3.0,1.0,0.0,0.0,0.3333333333333333
진천,12.0,5.0,4.0,1.0,0.0,0.0,0.25
청주 청원,13.0,7.0,8.0,3.0,0.0,1.0,0.3333333333333333
충주,12.0,6.0,6.0,6.0,0.0,1.0,0.8571428571428571
청주 흥덕,12.0,7.0,13.0,10.0,1.0,4.0,0.6470588235294118
